Mentee,Mentee Email,Mentor,Mentor Email,Score,Mentor Email Is EDU,Validation Notes Mentor,Validation Notes Mentee,Shared Hobbies (Exact),Same School,Year Gap,MBTI Mentee/Mentor,Goals (Mentor←Mentee),BRK::pref_gender,BRK::pref_eth,BRK::mentor_pref_gender,BRK::mentor_pref_eth,BRK::lgbtq_pref,BRK::availability_overlap,BRK::location_state,BRK::year_proximity,BRK::mbti,BRK::goals_rule,BRK::goals_semantic,BRK::interests_semantic
Alex Lee,alex.lee6.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,132.8475,True,,,,False,,ENFP / ISTJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,30.0,4.2857,0,0,3,0,21.3988,14.163
Alex Lee,alex.lee6.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,111.7791,True,,,,False,,ESTJ / ISTJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,5.0,3.3333,0,0,9,0,18.5685,15.8772
Alex Lee,alex.lee6.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,106.2542,True,,,,False,,INTJ / ISTJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,10.0,5.0,0.0,0,0,7,0,20.5959,13.6583
Alex Lee,alex.lee6.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,106.0476,True,,,,False,,ISFJ / ISTJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,0.0,5.0,6.6667,0,0,9,0,20.1865,15.1944
Alex Lee,alex.lee6.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,101.973,True,,,,False,,ENFJ / ISTJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,0.0,5.0,2.8571,0,0,8,0,22.255,13.8609
Alex Lee,alex.lee6.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,99.7293,True,,,,False,,ENTP / ISTJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,10.0,0.0,5.0,0.0,0,0,7,0,22.0433,15.686
Alex Lee,alex.lee6.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,87.1526,True,,,,False,,ENTJ / ISTJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to lead technology teams at major companies and drive innovation in immersive computing platforms.,20,20,0.0,0.0,5.0,2.8571,0,0,8,0,18.4803,12.8151
Avery Patel,avery.patel7.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,137.8033,True,,,,False,,ENFP / ENTJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,10.0,30.0,20.0,0,0,9,0,21.552,17.2514
Avery Patel,avery.patel7.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,135.0398,True,,,,False,,ISTJ / ENTJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,20,10.0,10.0,30.0,3.5714,0,0,8,0,20.2536,13.2147
Avery Patel,avery.patel7.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,116.0371,True,,,,False,,INTP / ENTJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,10.0,30.0,5.0,0,0,9,0,18.2241,13.813
Avery Patel,avery.patel7.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,111.8647,True,,,,False,,ESFP / ENTJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,10.0,30.0,3.5714,0,0,6,0,18.4235,13.8698
Avery Patel,avery.patel7.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,109.4653,True,,,,False,,ESTJ / ENTJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,20,10.0,10.0,5.0,3.5714,0,0,9,0,18.6901,13.2038
Avery Patel,avery.patel7.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,92.9122,True,,,,False,,INTJ / ENTJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,10.0,5.0,5.0,0,0,10,0,20.7703,12.1419
Avery Patel,avery.patel7.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,87.6857,True,,,,False,,ENFJ / ENTJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,0.0,5.0,10.0,0,0,11,0,19.7689,11.9169
Avery Patel,avery.patel7.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,81.132,True,,,,False,,ENTP / ENTJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,0.0,5.0,2.8571,0,0,10,0,20.2712,13.0036
Avery Patel,avery.patel7.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,78.79,True,,,,False,,ISFJ / ENTJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,10.0,0.0,5.0,3.5714,0,0,7,0,19.57,13.6486
Avery Patel,avery.patel7.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,70.556,True,,,,False,,ENTJ / ENTJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← My goal is to work in cybersecurity consulting and help companies protect against ransomware attacks.,20,0,0.0,0.0,5.0,5.0,0,0,8,0,19.1559,13.4001
Casey Khan,casey.khan0.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,101.9926,True,,,,False,,ENFJ / INFP,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,0.0,15.0,5.7143,0,0,15,0,17.3477,18.9305
Casey Khan,casey.khan0.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,101.9899,True,,,,False,,ESTJ / INFP,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,10.0,15.0,6.0,0,0,3,0,17.73,20.2599
Casey Khan,casey.khan0.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,97.9931,True,,,,False,,ENFP / INFP,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,0,20,10.0,10.0,10.0,4.2857,0,0,11,0,18.2146,14.4928
Casey Khan,casey.khan0.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,96.352,True,,,,False,,ENTJ / INFP,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,0.0,15.0,4.2857,0,0,15,0,18.1813,13.885
Casey Khan,casey.khan0.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,93.3884,True,,,,False,,ENTP / INFP,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,0.0,15.0,1.4286,0,0,11,0,19.4687,16.4912
Casey Khan,casey.khan0.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,91.4461,True,,,,False,,ISFJ / INFP,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,20,0,10.0,0.0,15.0,4.0,0,0,7,0,20.5293,14.9168
Casey Khan,casey.khan0.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,78.1239,True,,,,False,,INTJ / INFP,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,0,0,10.0,10.0,15.0,1.4286,0,0,7,0,19.528,15.1673
Casey Khan,casey.khan0.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,75.8639,True,,,,False,,ESFP / INFP,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,0,0,10.0,10.0,10.0,4.0,0,0,7,0,19.3489,15.515
Casey Khan,casey.khan0.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,66.9056,True,,,,False,,ISTJ / INFP,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,0,0,0.0,10.0,10.0,4.0,0,0,6,0,18.5177,18.3879
Casey Khan,casey.khan0.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,65.8765,True,,,,False,,INTP / INFP,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to break into the film industry as a director and tell stories that resonate with underrepresented communities.,0,0,0.0,10.0,10.0,2.8571,0,0,9,0,19.8709,14.1485
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,142.2886,True,,,,False,,ENFP / INFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,30.0,3.5714,0,0,12,0,20.3855,16.3317
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,132.2845,True,,,,False,,ESFP / INFJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,30.0,3.3333,0,0,6,0,19.0301,13.921
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,125.0768,True,,,,False,,INTP / INFJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,0.0,10.0,30.0,2.8571,0,0,8,0,20.1172,14.1024
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,120.9924,True,,,,False,,ISTJ / INFJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,0.0,10.0,30.0,3.3333,0,0,6,0,18.7819,12.8772
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,113.4478,True,,,,False,,ENFJ / INFJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,5.0,4.2857,0,0,11,0,19.6311,13.531
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,108.7994,True,,,,False,,INTJ / INFJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,5.0,2.8571,0,0,9,0,18.8501,13.0922
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,108.5522,True,,,,False,,ESTJ / INFJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,10.0,5.0,3.3333,0,0,7,0,18.0183,15.2005
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,107.6553,True,,,,False,,ENTP / INFJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,0.0,5.0,3.3333,0,0,15,0,18.2078,16.1142
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,99.6421,True,,,,False,,ISFJ / INFJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,10.0,0.0,5.0,3.3333,0,0,8,0,19.0685,14.2402
Morgan Chen,morgan.chen1.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,95.3337,True,,,,False,,ENTJ / INFJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← My goal is to major in robotics engineering and eventually design prosthetics for people with disabilities.,20,20,0.0,0.0,5.0,5.7143,0,0,12,0,18.91,13.7094
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,120.6979,True,,,,False,,ENTP / ENFP,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,20,10.0,10.0,15.0,1.6667,0,0,10,0,16.9011,17.1301
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,107.5658,True,,,,False,,ENTJ / ENFP,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,20,0.0,10.0,15.0,3.8095,0,0,9,0,15.7726,13.9837
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,104.0471,True,,,,False,,INTJ / ENFP,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,10.0,15.0,0.9524,0,0,15,0,18.9834,14.1113
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,98.8828,True,,,,False,,ESTJ / ENFP,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,10.0,15.0,5.3333,0,0,5,0,16.8293,16.7202
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,95.1655,True,,,,False,,ENFJ / ENFP,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,0.0,15.0,4.7619,0,0,12,0,17.786,15.6176
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,94.5998,True,,,,False,,ENFP / ENFP,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,10.0,10.0,4.2857,0,0,8,0,18.6329,13.6812
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,92.9384,True,,,,False,,ESFP / ENFP,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,10.0,10.0,1.3333,0,0,11,0,17.0533,13.5518
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,83.0772,True,,,,False,,ISFJ / ENFP,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,10.0,0.0,15.0,1.3333,0,0,6,0,16.6473,14.0966
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,80.2751,True,,,,False,,INTP / ENFP,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,0.0,10.0,10.0,0.9524,0,0,8,0,18.7624,12.5603
Morgan Davis,morgan.davis3.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,76.4511,True,,,,False,,ISTJ / ENFP,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I hope to merge traditional art with machine learning to create interactive museum installations.,20,0,0.0,10.0,10.0,1.3333,0,0,3,0,16.4871,15.6307
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Alex Davis,alex.davis7.mentor@rutgers.edu,114.9832,True,,,,False,,ISFJ / INFJ,I want to develop my public speaking skills and lead workshops on effective communication in professional settings. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,15.0,20.0,0,0,8,0,17.9688,14.0144
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,109.3802,True,,,,False,,ESFP / INFJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,10.0,20.0,0,0,6,0,19.629,13.7512
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,99.8539,True,,,,False,,ISTJ / INFJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,0.0,10.0,10.0,20.0,0,0,6,0,20.0231,13.8308
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,97.5284,True,,,,False,,ENFP / INFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,10.0,3.5714,0,0,12,0,18.2301,13.7269
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Sam Johnson,sam.johnson4.mentor@rutgers.edu,97.0495,True,,,,False,,INTJ / INFJ,I'm building a nonprofit to provide free coding bootcamps and mentorship to students from underserved communities. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,15.0,2.8571,0,0,9,0,17.6886,12.5037
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,95.6672,True,,,,False,,INTP / INFJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,0.0,10.0,10.0,14.2857,0,0,8,0,20.0838,13.2976
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,93.3776,True,,,,False,,ESTJ / INFJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,10.0,15.0,0.0,0,0,7,0,18.4451,12.9325
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Jamie Patel,jamie.patel5.mentor@rutgers.edu,92.2384,True,,,,False,,ENTP / INFJ,I want to build a network in venture capital and eventually invest in early-stage fintech startups. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,0.0,15.0,0.0,0,0,15,0,18.1709,14.0676
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Jamie Brown,jamie.brown1.mentor@rutgers.edu,87.7289,True,,,,False,,ENFJ / INFJ,I want to get AWS and Azure certifications and transition into a cloud architect role in enterprise IT. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,10.0,0.0,15.0,0.0,0,0,11,0,19.3274,12.4016
Riley Johnson,riley.johnson9.mentee@rutgers.edu,Riley Davis,riley.davis3.mentor@rutgers.edu,82.1656,True,,,,False,,ENTJ / INFJ,I want to publish research on economic inequality and work in policy think tanks to influence legislation. ← I want to pursue a PhD in pure mathematics and eventually teach at a research university.,0,20,0.0,0.0,15.0,0.0,0,0,12,4,18.4389,12.7267
Sam Chen,sam.chen2.mentee@rutgers.edu,Alex Khan,alex.khan0.mentor@rutgers.edu,119.8982,True,,,,False,,ENFP / ENFJ,I'm working toward landing a software engineering internship at a FAANG company and building scalable web applications. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,10.0,30.0,3.5714,0,0,12,0,20.5929,13.7339
Sam Chen,sam.chen2.mentee@rutgers.edu,Casey Smith,casey.smith9.mentor@rutgers.edu,113.1104,True,,,,False,,ESFP / ENFJ,I want to take on leadership roles in student government and learn how to organize large-scale campus events. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,10.0,30.0,3.3333,0,0,8,0,18.0987,13.6783
Sam Chen,sam.chen2.mentee@rutgers.edu,Casey Garcia,casey.garcia8.mentor@rutgers.edu,105.3676,True,,,,False,,ISTJ / ENFJ,I'm studying abroad to become fluent in Mandarin and Spanish while learning about global business practices. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,0.0,10.0,30.0,3.3333,0,0,8,0,18.3237,15.7106
Sam Chen,sam.chen2.mentee@rutgers.edu,Avery Patel,avery.patel2.mentor@rutgers.edu,103.3489,True,,,,False,,INTP / ENFJ,I'm passionate about creating educational video games that teach STEM concepts to middle schoolers. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,0.0,10.0,30.0,2.8571,0,0,7,0,19.7365,13.7553
Sam Chen,sam.chen2.mentee@rutgers.edu,Alex Lee,alex.lee6.mentor@rutgers.edu,91.9324,True,,,,False,,ESTJ / ENFJ,I'm focused on launching a mobile app for personal finance education and helping people build wealth. ← I want to work at a top design agency and create user experiences that are intuitive and beautiful.,0,20,10.0,10.0,5.0,3.3333,0,0,9,0,18.9528,15.6463
